"","Date","Beach","Attendance","Month","Year"
"485","07/26/2017","Midland",550,"July","2017"
"486","07/26/2017","South beach",750,"July","2017"
"487","07/26/2017","Wolfe's Pond",90,"July","2017"
"488","07/26/2017","Cedar Grove",35,"July","2017"
"489","07/27/2017","Orchard",2100,"July","2017"
"490","07/27/2017","Coney Island",13500,"July","2017"
"491","07/27/2017","Manhattan",1300,"July","2017"
"492","07/27/2017","Rockaway",72000,"July","2017"
"493","07/27/2017","Midland",800,"July","2017"
"494","07/27/2017","South beach",1000,"July","2017"
"495","07/27/2017","Wolfe's Pond",90,"July","2017"
"496","07/27/2017","Cedar Grove",70,"July","2017"
"497","07/28/2017","Orchard",2500,"July","2017"
"498","07/28/2017","Coney Island",5000,"July","2017"
"499","07/28/2017","Manhattan",600,"July","2017"
"500","07/28/2017","Rockaway",16000,"July","2017"
"501","07/28/2017","Midland",850,"July","2017"
"502","07/28/2017","South beach",875,"July","2017"
"503","07/28/2017","Wolfe's Pond",190,"July","2017"
"504","07/28/2017","Cedar Grove",10,"July","2017"
"505","07/29/2017","Orchard",87500,"July","2017"
"506","07/29/2017","Coney Island",190000,"July","2017"
"507","07/29/2017","Manhattan",4000,"July","2017"
"508","07/29/2017","Rockaway",167000,"July","2017"
"509","07/29/2017","Midland",3200,"July","2017"
"510","07/29/2017","South beach",3400,"July","2017"
"511","07/29/2017","Wolfe's Pond",1500,"July","2017"
"512","07/29/2017","Cedar Grove",535,"July","2017"
"513","07/30/2017","Orchard",4600,"July","2017"
"514","07/30/2017","Coney Island",40000,"July","2017"
"515","07/30/2017","Manhattan",1150,"July","2017"
"516","07/30/2017","Rockaway",30500,"July","2017"
"517","07/30/2017","Midland",2000,"July","2017"
"518","07/30/2017","South beach",2400,"July","2017"
"519","07/30/2017","Wolfe's Pond",110,"July","2017"
"520","07/30/2017","Cedar Grove",170,"July","2017"
"521","07/31/2017","Orchard",8950,"July","2017"
"522","07/31/2017","Coney Island",18000,"July","2017"
"523","07/31/2017","Manhattan",1350,"July","2017"
"524","07/31/2017","Rockaway",91500,"July","2017"
"525","07/31/2017","Midland",13700,"July","2017"
"526","07/31/2017","South beach",7100,"July","2017"
"527","07/31/2017","Wolfe's Pond",120,"July","2017"
"528","07/31/2017","Cedar Grove",225,"July","2017"
"529","08/01/2017","Orchard",1400,"August","2017"
"530","08/01/2017","Coney Island",2200,"August","2017"
"531","08/01/2017","Manhattan",550,"August","2017"
"532","08/01/2017","Rockaway",16500,"August","2017"
"533","08/01/2017","Midland",625,"August","2017"
"534","08/01/2017","South beach",700,"August","2017"
"535","08/01/2017","Wolfe's Pond",75,"August","2017"
"536","08/01/2017","Cedar Grove",75,"August","2017"
"537","08/02/2017","Orchard",2050,"August","2017"
"538","08/02/2017","Coney Island",17500,"August","2017"
"539","08/02/2017","Manhattan",1350,"August","2017"
